MMWR Week,variable,value,date
08-May-22,Asian,0.0,2022-05-08
08-May-22,Hispanic or Latino,0.0,2022-05-08
08-May-22,Black or African American,50.0,2022-05-08
08-May-22,White,50.0,2022-05-08
15-May-22,Black or African American,7.143,2022-05-15
15-May-22,Asian,0.0,2022-05-15
15-May-22,Hispanic or Latino,28.571,2022-05-15
15-May-22,White,64.286,2022-05-15
22-May-22,Hispanic or Latino,31.579,2022-05-22
22-May-22,White,31.579,2022-05-22
22-May-22,Black or African American,5.263,2022-05-22
22-May-22,Asian,15.789,2022-05-22
29-May-22,Asian,5.556,2022-05-29
29-May-22,Hispanic or Latino,30.556,2022-05-29
29-May-22,White,55.556,2022-05-29
29-May-22,Black or African American,8.333,2022-05-29
05-June-22,Black or African American,11.688,2022-06-05
05-June-22,Hispanic or Latino,32.468,2022-06-05
05-June-22,Asian,3.896,2022-06-05
05-June-22,White,48.052,2022-06-05
12-June-22,Hispanic or Latino,28.169,2022-06-12
12-June-22,Asian,4.93,2022-06-12
12-June-22,White,48.592,2022-06-12
12-June-22,Black or African American,15.493,2022-06-12
19-June-22,Asian,5.628,2022-06-19
19-June-22,White,50.649,2022-06-19
19-June-22,Black or African American,11.688,2022-06-19
19-June-22,Hispanic or Latino,30.736,2022-06-19
26-June-22,Asian,4.521,2022-06-26
26-June-22,White,38.879,2022-06-26
26-June-22,Hispanic or Latino,34.901,2022-06-26
26-June-22,Black or African American,18.083,2022-06-26
03-July-22,Asian,4.368,2022-07-03
03-July-22,Hispanic or Latino,34.357,2022-07-03
03-July-22,White,37.662,2022-07-03
03-July-22,Black or African American,20.071,2022-07-03
10-July-22,Black or African American,25.038,2022-07-10
10-July-22,Asian,4.463,2022-07-10
10-July-22,Hispanic or Latino,32.375,2022-07-10
10-July-22,White,35.477,2022-07-10
17-July-22,Hispanic or Latino,29.799,2022-07-17
17-July-22,Black or African American,30.022,2022-07-17
17-July-22,Asian,3.404,2022-07-17
17-July-22,White,33.65,2022-07-17
24-July-22,Black or African American,28.009,2022-07-24
24-July-22,White,33.54,2022-07-24
24-July-22,Asian,2.699,2022-07-24
24-July-22,Hispanic or Latino,32.92,2022-07-24
31-July-22,Black or African American,29.533,2022-07-31
31-July-22,White,29.066,2022-07-31
31-July-22,Asian,3.541,2022-07-31
31-July-22,Hispanic or Latino,34.241,2022-07-31
07-August-22,Black or African American,33.915,2022-08-07
07-August-22,White,27.702,2022-08-07
07-August-22,Asian,2.766,2022-08-07
07-August-22,Hispanic or Latino,32.468,2022-08-07
14-August-22,Asian,2.909,2022-08-14
14-August-22,White,25.273,2022-08-14
14-August-22,Black or African American,35.091,2022-08-14
14-August-22,Hispanic or Latino,32.682,2022-08-14
21-August-22,Hispanic or Latino,31.131,2022-08-21
21-August-22,White,25.614,2022-08-21
21-August-22,Asian,2.622,2022-08-21
21-August-22,Black or African American,37.084,2022-08-21
28-August-22,White,27.693,2022-08-28
28-August-22,Hispanic or Latino,31.527,2022-08-28
28-August-22,Black or African American,34.898,2022-08-28
28-August-22,Asian,2.379,2022-08-28
04-September-22,Hispanic or Latino,31.366,2022-09-04
04-September-22,Black or African American,36.476,2022-09-04
04-September-22,Asian,2.203,2022-09-04
04-September-22,White,25.991,2022-09-04
11-September-22,Hispanic or Latino,26.624,2022-09-11
11-September-22,White,25.985,2022-09-11
11-September-22,Asian,1.704,2022-09-11
11-September-22,Black or African American,41.214,2022-09-11
18-September-22,Hispanic or Latino,19.482,2022-09-18
18-September-22,White,28.083,2022-09-18
18-September-22,Black or African American,47.565,2022-09-18
18-September-22,Asian,1.554,2022-09-18
25-September-22,Black or African American,50.0,2022-09-25
25-September-22,Asian,1.802,2022-09-25
25-September-22,Hispanic or Latino,18.468,2022-09-25
25-September-22,White,25.901,2022-09-25
